id=33350, x=47.09, y=128.83 for query 1
id=55780, x=51.7, y=125.57 for query 2
id=41355, x=21.06, y=106.07 for query 3
id=142083, x=5.62, y=132.54 for query 4
id=16230, x=65.18, y=94.82 for query 5
id=60033, x=89.38, y=114.84 for query 6
id=136599, x=89.51, y=95.28 for query 7
id=361, x=3.79, y=126.02 for query 8
id=133950, x=22.03, y=97.1 for query 9
id=26314, x=47.59, y=134.17 for query 10
id=138692, x=69.1, y=126.3 for query 11
id=44106, x=22.36, y=141.77 for query 12
id=144947, x=34.68, y=93.63 for query 13
id=37367, x=88.52, y=138.35 for query 14
id=79167, x=77.55, y=86.05 for query 15
id=149477, x=23.34, y=144.88 for query 16
id=102215, x=55.79, y=102.95 for query 17
id=15265, x=54.69, y=120.24 for query 18
id=5167, x=39.7, y=138.14 for query 19
id=39080, x=40.09, y=124.24 for query 20
id=126623, x=43.68, y=97.79 for query 21
id=22967, x=66.09, y=103.03 for query 22
id=81993, x=74.01, y=107.76 for query 23
id=127684, x=64.53, y=132.9 for query 24
id=37651, x=35.27, y=159.26 for query 25
id=21797, x=38.55, y=85.57 for query 26
id=118848, x=1.24, y=88.83 for query 27
id=30422, x=58.35, y=98.52 for query 28
id=120081, x=62.02, y=124.93 for query 29
id=9176, x=87.68, y=95.01 for query 30
id=61025, x=39.09, y=98.96 for query 31
id=69002, x=36.86, y=101.19 for query 32
id=39426, x=24.71, y=147.96 for query 33
id=87811, x=58.26, y=126.9 for query 34
id=118041, x=27.71, y=158.73 for query 35
id=25105, x=16.88, y=153.31 for query 36
id=64186, x=74.25, y=142.77 for query 37
id=45068, x=28.7, y=110.78 for query 38
id=5415, x=6.45, y=121.56 for query 39
id=107704, x=80.32, y=94.53 for query 40
id=26700, x=71.54, y=88.31 for query 41
id=96420, x=36.1, y=158.67 for query 42
id=45893, x=18.95, y=103.98 for query 43
id=24470, x=6.6, y=116.46 for query 44
id=43234, x=62.3, y=119.52 for query 45
id=44373, x=52.9, y=158.06 for query 46
id=19879, x=47.05, y=158.09 for query 47
id=100348, x=7.11, y=136.21 for query 48
id=88825, x=36.9, y=119.43 for query 49
id=123988, x=47.84, y=140.28 for query 50
id=99626, x=54.69, y=87.87 for query 51
id=59560, x=87.0, y=88.43 for query 52
id=69051, x=41.53, y=146.15 for query 53
id=44877, x=79.64, y=139.0 for query 54
id=91721, x=81.97, y=156.82 for query 55
id=100876, x=56.39, y=127.6 for query 56
id=126989, x=6.49, y=142.5 for query 57
id=53217, x=5.83, y=144.67 for query 58
